Company,Category,Revenue,Net_income,Net_margin,Year,FY,Fiscal_period,Currency,Ticker_symbol,Link_or_not,Link
九牧王,服装, 26 , 4.9 ,19%,2017,2017,2017/1/1-2017/12/31,亿元,601566.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN201804241128998749_1.pdf
九牧王,服装, 23 , 4.2 ,19%,2016,2016,2016/1/1-2016/12/31,亿元,601566.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN201804241128998749_1.pdf
拉夏贝尔,服装, 77 , -22.5 ,-29%,2019,2019,2019/1/1-2019/12/31,亿元,603157.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN202007011388707737_1.pdf
拉夏贝尔,服装, 102 , -2.0 ,-2%,2018,2018,2018/1/1-2018/12/31,亿元,603157.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN202007011388707737_1.pdf
拉夏贝尔,服装, 90 , 5.4 ,6%,2017,2017,2017/1/1-2017/12/31,亿元,603157.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN201804161123708461_1.pdf
拉夏贝尔,服装, 86 , 5.7 ,7%,2016,2016,2016/1/1-2016/12/31,亿元,603157.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN201804161123708461_1.pdf
海澜之家,服装, 220 , 31.7 ,14%,2019,2019,2019/1/1-2019/12/31,亿元,600398.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN202004281378892370_1.pdf
海澜之家,服装, 191 , 34.6 ,18%,2018,2018,2018/1/1-2018/12/31,亿元,600398.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN202004281378892370_1.pdf
海澜之家,服装, 182 , 33.3 ,18%,2017,2017,2017/1/1-2017/12/31,亿元,600398.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN201803231109405237_1.pdf
海澜之家,服装, 170 , 31.2 ,18%,2016,2016,2016/1/1-2016/12/31,亿元,600398.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN201803231109405237_1.pdf
雅戈尔,服装, 124 , 39.5 ,32%,2019,2019,2019/1/1-2019/12/31,亿元,600177.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN202004291379034608_1.pdf
